País,Año,Temperatura Promedio (°C),Precipitación Promedio (mm),Humedad Promedio (%),Velocidad del Viento Promedio (km/h),Horas de Sol Promedio (horas),Días de Lluvia Promedio (días),Índice UV Promedio,Presión Atmosférica Promedio (hPa),Eventos Climáticos Extremos (Frecuencia)
Argentina,2000,0.9521410579345087,0.5090340888681346,0.40969899665551834,0.32589285714285715,0.5247750008364283,0.709839357429719,0.5454545454545454,0.8197381671701915,9
Argentina,2001,0.1158690176322418,0.24084916843277415,0.08193979933110362,0.18526785714285715,0.30947840342600963,0.7695783132530118,0.020202020202020207,0.7371601208459211,8
Argentina,2002,0.17380352644836272,0.8431337332519128,0.9013377926421405,0.4084821428571429,0.7447555957041054,0.9508032128514057,0.13131313131313127,0.45921450151057464,3
Argentina,2003,0.9924433249370277,0.86317755666511,0.9866220735785952,0.5580357142857143,0.15775034293552814,0.8674698795180722,0.606060606060606,0.19536757301107777,7
Argentina,2004,0.8765743073047858,0.5152483925428355,0.9264214046822742,0.28125,0.9674127605473588,0.1134538152610442,0.8383838383838383,0.8187311178247736,6
Argentina,2005,0.20906801007556675,0.37275045799058876,0.5936454849498328,0.1674107142857143,0.13068352905751285,0.4151606425702811,0.7575757575757575,0.6283987915407856,10
Argentina,2006,0.6750629722921915,0.42375803728582206,0.9247491638795985,0.765625,0.9952490882933522,0.5326305220883534,0.5555555555555555,0.9587109768378657,6
Argentina,2007,0.5239294710327456,0.3092424296849743,0.36789297658862874,0.15625,0.036602094416005926,0.6405622489959839,0.7979797979797979,0.9093655589123859,3
Argentina,2008,0.8841309823677581,0.34997665146018175,0.46321070234113715,0.8169642857142858,0.8517849376024624,0.6315261044176705,0.717171717171717,0.032225579053372755,5
Argentina,2009,0.929471032745592,0.9288408348001005,0.6555183946488293,0.17187500000000006,0.6292950583826826,0.006526104417670708,0.707070707070707,0.6576032225579045,5
Argentina,2010,0.8916876574307304,0.32346707855885626,0.0033444816053511683,0.8973214285714285,0.7743986081836127,0.5667670682730925,0.7979797979797979,0.9808660624370606,4
Argentina,2011,0.3047858942065491,0.12414239017206075,0.08862876254180596,0.004464285714285712,0.41734417344173447,0.6255020080321285,0.9191919191919191,0.4269889224572001,2
Argentina,2012,0.2518891687657431,0.3032795718237006,0.7107023411371237,0.9151785714285715,0.7508447923985413,0.08182730923694781,0.2828282828282828,0.43001007049345397,1
Argentina,2013,0.8639798488664987,0.3711340206185567,0.20401337792642138,0.4821428571428572,1.0,0.7981927710843373,0.808080808080808,0.7532729103726084,0
Argentina,2014,0.49118387909319894,0.45008800603469956,0.47157190635451507,0.3392857142857143,0.9693198166549568,0.7093373493975903,0.4141414141414142,0.6576032225579045,3
